prompt,completion,guess,stage,secret
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>Beginning with a balanced mix of vowels and consonants in common positions.</think><guess>CODAS</guess>,CODAS,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:","<think>Let me begin with a word that has high-frequency letters like E, A, R, S, and T.</think><guess>LASSO</guess>",LASSO,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
THICK: T(x) H(x) I(-) C(x) K(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>The word contains I but in different positions. I can eliminate K, T, H. Let me choose a word that satisfies these constraints.</think><guess>RENIN</guess>",RENIN,mid_game,QUOIN
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>Starting with a word containing multiple vowels will help narrow down possibilities quickly.</think><guess>SNEAP</guess>,SNEAP,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
CULPA: C(x) U(x) L(x) P(x) A(x)
MBIRA: M(x) B(x) I(x) R(-) A(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>The word contains R but in different positions. I can eliminate U, B, L. Let me choose a word that satisfies these constraints.</think><guess>OWRES</guess>",OWRES,mid_game,HORKS
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>I'll choose a word with common letters in typical positions for English words.</think><guess>MECCA</guess>,MECCA,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
GROOF: G(✓) R(x) O(x) O(x) F(x)
JIRDS: J(x) I(x) R(x) D(x) S(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know G is at position 1. I can eliminate D, J, F. Let me choose a word that satisfies these constraints.</think><guess>GANCH</guess>",GANCH,mid_game,GLEBA
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
UNKET: U(-) N(x) K(x) E(x) T(x)
DEMOS: D(-) E(x) M(x) O(x) S(✓)
AZIDO: A(x) Z(x) I(x) D(✓) O(x)
MENGE: M(x) E(x) N(x) G(x) E(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Based on all the feedback, I can narrow down the possibilities to very few words. Let me choose the most likely candidate.</think><guess>CURDS</guess>",CURDS,late_game,BURDS
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>Beginning with a balanced mix of vowels and consonants in common positions.</think><guess>NGWEE</guess>,NGWEE,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>Starting with a word containing multiple vowels will help narrow down possibilities quickly.</think><guess>FORTE</guess>,FORTE,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:","<think>Let me begin with a word that has high-frequency letters like E, A, R, S, and T.</think><guess>CHYND</guess>",CHYND,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
GEYAN: G(✓) E(-) Y(x) A(x) N(x)
TORTA: T(-) O(x) R(-) T(x) A(x)
FROND: F(x) R(✓) O(x) N(x) D(x)
SWOBS: S(x) W(x) O(x) B(x) S(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>After eliminating so many options, the answer should be clear from the remaining constraints.</think><guess>GREET</guess>",GREET,late_game,GREET
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
GRASP: G(x) R(x) A(-) S(x) P(x)
SAIRS: S(x) A(✓) I(x) R(x) S(x)
KSARS: K(x) S(x) A(-) R(x) S(x)
KIBBI: K(x) I(x) B(x) B(x) I(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Based on all the feedback, I can narrow down the possibilities to very few words. Let me choose the most likely candidate.</think><guess>DAZED</guess>",DAZED,late_game,DAZED
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
BATES: B(x) A(x) T(-) E(-) S(-)
DRILY: D(x) R(x) I(x) L(x) Y(x)
CROZE: C(x) R(x) O(x) Z(x) E(✓)
BAYLE: B(x) A(x) Y(x) L(x) E(✓)
FILLY: F(x) I(x) L(x) L(x) Y(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>With so many constraints identified, there are only a handful of valid words remaining. I'll pick the one that best fits.</think><guess>STUPE</guess>",STUPE,late_game,STUPE
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
DAMES: D(x) A(-) M(x) E(x) S(✓)
GOGGA: G(x) O(x) G(x) G(x) A(-)
SNOBS: S(x) N(-) O(x) B(x) S(✓)
RAILS: R(x) A(-) I(✓) L(x) S(✓)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Combining all the position and letter information, I can deduce the most probable answer.</think><guess>AYINS</guess>",AYINS,late_game,AYINS
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
NAKER: N(x) A(x) K(x) E(✓) R(x)
YUCCH: Y(x) U(x) C(x) C(x) H(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know E is at position 4. I can eliminate U, Y, K. Let me choose a word that satisfies these constraints.</think><guess>LOMES</guess>",LOMES,mid_game,LOXED
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
ROBLE: R(x) O(✓) B(x) L(x) E(x)
VITAE: V(x) I(x) T(-) A(x) E(x)
PESTO: P(✓) E(x) S(x) T(✓) O(-)
CONTE: C(x) O(✓) N(x) T(✓) E(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>With so many constraints identified, there are only a handful of valid words remaining. I'll pick the one that best fits.</think><guess>POUTY</guess>",POUTY,late_game,POUTY
